RecordNo,endtime,qweek,i12_health_1,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,weight,age,gender,state,household_size,employment_status,Vent_3,vac_boost_1,vac12_booster_other,vac_man_1,vac_man_2,vac_man_3,vac_man_4,vac_man_5,vac_man_6,vac_man_7,vac_man_96,vac_man_99,household_children_resp,future_1,future_2,had_covid_2,future_3
52848,21/03/2022 20:01,week 54,Sometimes,Always,Always,Always,Rarely,Not at all,Sometimes,Not at all,Rarely,Rarely,Frequently,Not at all,0.880970595,46,Male,Queensland,4,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,2,3 – About the same,3 – About the same,No,3 – About the same
52849,21/03/2022 20:03,week 54,Not at all,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.813491565,32,Female,Queensland,1,Full time employment,Not at all,No,__NA__,Yes,Yes,Yes,No,No,No,No,No,No,0,3 – About the same,3 – About the same,Yes,3 – About the same
52850,21/03/2022 20:04,week 54,Frequently,Rarely,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,0.969339937,57,Female,Victoria,4,Part time employment,Frequently,Yes,__NA__,No,No,No,No,No,Yes,Yes,No,No,2,3 – About the same,4,Yes,4
52851,21/03/2022 20:06,week 54,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,0.95916126,56,Male,New South Wales,5,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52852,21/03/2022 20:08,week 54,Rarely,Sometimes,Always,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.969339937,51,Female,Victoria,5,Part time employment,Not at all,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,2,2,No,1 – A lot less impact
52853,21/03/2022 20:08,week 54,Sometimes,Frequently,Always,Always,Not at all,Always,Always,Not at all,Not at all,Always,Sometimes,Not at all,1.311109355,65,Male,Tasmania,2,Part time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,2
52854,21/03/2022 20:09,week 54,Frequently,Not at all,Always,Always,Not at all,Always,Not at all,Not at all,Not at all,Rarely,Frequently,Not at all,1.018565926,52,Female,New South Wales,1,Part time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,2
52855,21/03/2022 20:10,week 54,Frequently,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.848267044,57,Male,Victoria,3,Full time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,2,2,Yes,1 – A lot less impact
52856,21/03/2022 20:11,week 54,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.745717068,64,Female,New South Wales,2,Retired,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52857,21/03/2022 20:11,week 54,Always,Frequently,Always,Always,Frequently,Frequently,Rarely,Frequently,Frequently,Always,Frequently,Frequently,0.928878718,36,Female,Victoria,2,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,4,5 - A lot more of an impact,No,3 – About the same
52858,21/03/2022 20:13,week 54,Always,Frequently,Always,Always,Sometimes,Rarely,Always,Rarely,Rarely,Rarely,Frequently,Rarely,0.540781813,63,Male,South Australia,2,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52859,21/03/2022 20:14,week 54,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,Always,Always,Frequently,0.854896967,62,Female,Victoria,2,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,Yes,3 – About the same
52861,21/03/2022 20:15,week 54,Always,Always,Always,Always,Sometimes,Frequently,Always,Sometimes,Sometimes,Frequently,Frequently,Sometimes,0.754580239,62,Female,Queensland,2,Full time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,2,No,2
52862,21/03/2022 20:16,week 54,Frequently,Frequently,Always,Always,Sometimes,Not at all,Sometimes,Frequently,Always,Always,Always,Frequently,0.928878718,44,Female,Victoria,3,Part time employment,Sometimes,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,1,3 – About the same,3 – About the same,Yes,3 – About the same
52863,21/03/2022 20:18,week 54,Frequently,Always,Always,Always,Sometimes,Always,Always,Frequently,Always,Always,Always,Frequently,0.928838105,45,Female,Queensland,5,Part time employment,Always,No,__NA__,No,No,No,No,No,No,No,No,Yes,4,3 – About the same,3 – About the same,Yes,3 – About the same
52864,21/03/2022 20:18,week 54,Not at all,Rarely,Always,Rarely,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Frequently,Rarely,0.928838105,42,Female,Queensland,3,Full time employment,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,1,3 – About the same,3 – About the same,No,3 – About the same
52865,21/03/2022 20:23,week 54,Frequently,Frequently,Frequently,Always,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0.976049966,49,Female,New South Wales,1,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,No,No,No,No,No,No,No,0,3 – About the same,3 – About the same,No,2
52866,21/03/2022 20:27,week 54,Not at all,Frequently,Always,Frequently,Not at all,Not at all,Always,Not at all,Not at all,Rarely,Sometimes,Not at all,0.976049966,39,Female,New South Wales,3,Unemployed,Rarely,No,__NA__,No,No,No,No,No,No,No,No,Yes,1,2,2,No,1 – A lot less impact
52867,21/03/2022 20:33,week 54,Always,Frequently,Always,Always,Not at all,Not at all,Always,Always,Always,Always,Always,Not at all,0.892158875,44,Male,New South Wales,1,Not working,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52868,21/03/2022 20:36,week 54,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Sometimes,1.023401234,60,Male,Victoria,1,Unemployed,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52869,21/03/2022 20:37,week 54,Sometimes,Rarely,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,0.819128647,35,Female,Tasmania,2,Full time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,2,No,1 – A lot less impact
52870,21/03/2022 20:45,week 54,Not at all,Not at all,Frequently,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,1.30685217,60,Male,Tasmania,2,Full time employment,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,Yes,2
52871,21/03/2022 20:47,week 54,Not at all,Frequently,Always,Frequently,Sometimes,Sometimes,Frequently,Rarely,Rarely,Rarely,Frequently,Rarely,0.969297554,58,Female,Queensland,2,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52872,21/03/2022 20:50,week 54,Sometimes,Always,Always,Always,Sometimes,Always,Not at all,Always,Always,Always,Always,Not at all,0.954604197,48,Male,Queensland,4,Full time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52873,21/03/2022 20:54,week 54,Always,Always,Always,Frequently,Not at all,Frequently,Frequently,Not at all,Sometimes,Frequently,Always,Rarely,0.928878718,42,Female,Victoria,4,Not working,Rarely,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,3 – About the same,No,3 – About the same
52874,21/03/2022 20:55,week 54,Frequently,Frequently,Always,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,0.985314419,42,Male,New South Wales,2,Full time employment,Frequently,No,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,2,No,2
52875,21/03/2022 20:58,week 54,Always,Always,Always,Always,Not at all,Always,Always,Not at all,Not at all,Not at all,Always,Not at all,0.735707333,28,Female,South Australia,5,Part time employment,Not at all,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
52876,21/03/2022 20:59,week 54,Not at all,Sometimes,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.819128647,39,Female,Tasmania,5,Not working,Not at all,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,3,3 – About the same,3 – About the same,No,3 – About the same
52877,21/03/2022 20:59,week 54,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Sometimes,0.969339937,60,Female,Victoria,1,Full time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52878,21/03/2022 21:05,week 54,Frequently,Rarely,Always,Frequently,Rarely,Frequently,Not at all,Not at all,Frequently,Frequently,Frequently,Rarely,1.107657713,24,Female,New South Wales,3,Full time employment,Frequently,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,3 – About the same,2,No,1 – A lot less impact
52879,21/03/2022 21:05,week 54,Not at all,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Always,0.745717068,61,Female,New South Wales,2,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,3 – About the same,3 – About the same,Yes,3 – About the same
52880,21/03/2022 21:05,week 54,Always,Always,Always,Always,Rarely,Always,Always,Sometimes,Sometimes,Sometimes,Always,Rarely,0.976049966,37,Female,New South Wales,4,Unemployed,Sometimes,No,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,3 – About the same,No,3 – About the same
52881,21/03/2022 21:07,week 54,Always,Always,Always,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Not at all,Not at all,Rarely,Not at all,1.180321234,72,Female,New South Wales,1,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52882,21/03/2022 21:08,week 54,Not at all,Not at all,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.95916126,52,Male,New South Wales,4,Full time employment,Not at all, ,__NA__,No,No,No,No,No,No,No,No,Yes,1,3 – About the same,3 – About the same,No,3 – About the same
52883,21/03/2022 21:09,week 54,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,0.754580239,61,Female,Queensland,4,Not working,Not at all,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,2,3 – About the same,No,3 – About the same
52884,21/03/2022 21:10,week 54,Always,Always,Always,Always,Sometimes,Always,Always,Rarely,Sometimes,Frequently,Frequently,Sometimes,1.534271588,74,Female,Victoria,1,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,2
52885,21/03/2022 21:12,week 54,Always,Always,Frequently,Frequently,Sometimes,Rarely,Always,Sometimes,Frequently,Frequently,Always,Sometimes,0.929266178,64,Male,Queensland,4,Unemployed,Sometimes,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52886,21/03/2022 21:13,week 54,Frequently,Frequently,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,0.928878718,49,Female,Victoria,2,Full time employment,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,Yes,3 – About the same
52887,21/03/2022 21:14,week 54,Rarely,Always,Always,Always,Rarely,Rarely,Rarely,Frequently,Frequently,Frequently,Always,Rarely,0.969297554,59,Female,Queensland,1,Unemployed,Frequently, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,1 – A lot less impact,1 – A lot less impact,No,1 – A lot less impact
52888,21/03/2022 21:16,week 54,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.928838105,46,Female,Queensland,4,Part time employment,Not at all, ,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,3 – About the same,Yes,3 – About the same
52889,21/03/2022 21:16,week 54,Frequently,Frequently,Always,Always,Frequently,Always,Always,Frequently,Frequently,Always,Always,Frequently,1.180321234,79,Female,New South Wales,1,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52890,21/03/2022 21:17,week 54,Frequently,Always,Always,Always,Sometimes,Always,Always,Not at all,Frequently,Always,Frequently,Sometimes,0.871307484,66,Male,New South Wales,2,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52891,21/03/2022 21:17,week 54,Not at all,Always,Frequently,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,0.540781813,56,Male,South Australia,3,Part time employment,Rarely,No,__NA__,Yes,Yes,Yes,No,No,No,No,No,No,0,3 – About the same,2,No,2
52892,21/03/2022 21:18,week 54,Rarely,Sometimes,Always,Always,Sometimes,Always,Not at all,Frequently,Frequently,Frequently,Frequently,Not at all,0.754580239,60,Female,Queensland,2,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,2,No,1 – A lot less impact
52893,21/03/2022 21:22,week 54,Rarely,Frequently,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.854896967,61,Female,Victoria,2,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52894,21/03/2022 21:25,week 54,Always,Frequently,Always,Always,Sometimes,Sometimes,Frequently,Frequently,Always,Always,Sometimes,Sometimes,0.735707333,30,Female,South Australia,4,Unemployed,Sometimes,No,__NA__,No,No,No,No,No,No,No,No,Yes,3,5 - A lot more of an impact,5 - A lot more of an impact,No,5 - A lot more of an impact
52895,21/03/2022 21:26,week 54,Always,Always,Always,Always,Sometimes,Frequently,Frequently,Sometimes,Frequently,Rarely,Always,Sometimes,0.928878718,45,Female,Victoria,3,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,No,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52896,21/03/2022 21:28,week 54,Not at all,Sometimes,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.86847834,61,Male,New South Wales,1,Full time employment,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
52897,21/03/2022 21:30,week 54,Always,Sometimes,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,0.928878718,46,Female,Victoria,1,Part time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,1 – A lot less impact,No,1 – A lot less impact
52898,21/03/2022 21:32,week 54,Always,Frequently,Always,Frequently,Sometimes,Sometimes,Always,Sometimes,Frequently,Always,Always,Frequently,1.534204506,69,Female,Queensland,2,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,4,4,Yes,3 – About the same
52899,21/03/2022 21:33,week 54,Always,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0.81514879,43,Female,Australian Capital Territory,5,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4,5 - A lot more of an impact,5 - A lot more of an impact,No,5 - A lot more of an impact
52900,21/03/2022 21:36,week 54,Always,Always,Always,Always,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,0.848267044,54,Male,Victoria,4,Full time employment,Sometimes,No,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,2,3 – About the same,3 – About the same,Yes,3 – About the same
52901,21/03/2022 21:39,week 54,Not at all,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,1.507598854,69,Male,Northern Territory,2,Retired,Always, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
52902,21/03/2022 21:39,week 54,Not at all,Frequently,Always,Always,Not at all,Not at all,Always,Not at all,Not at all,Frequently,Frequently,Not at all,0.860380695,65,Male,Queensland,1,Part time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,2
52903,21/03/2022 21:40,week 54,Always,Always,Always,Always,Always,Rarely,Always,Always,Always,Always,Always,Always,1.534204506,77,Female,Queensland,2,Retired,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52904,21/03/2022 21:41,week 54,Frequently,Sometimes,Always,Always,Sometimes,Frequently,Always,Not at all,Rarely,Always,Always,Sometimes,0.928878718,37,Female,Victoria,1,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52905,21/03/2022 21:41,week 54,Not at all,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0.928838105,41,Female,Queensland,7,Not working,Sometimes,No,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,3 – About the same,No,3 – About the same
52906,21/03/2022 21:43,week 54,Always,Frequently,Always,Frequently,Sometimes,Always,Frequently,Frequently,Frequently,Frequently,Always,Frequently,0.976049966,47,Female,New South Wales,1,Full time employment,Always,No,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,4,4,No,2
52907,21/03/2022 21:43,week 54,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.932293344,77,Male,Queensland,2,Retired,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52908,21/03/2022 21:43,week 54,Sometimes,Always,Always,Frequently,Sometimes,Not at all,Always,Sometimes,Frequently,Frequently,Frequently,Sometimes,0.929266178,58,Male,Queensland,4,Full time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52909,21/03/2022 21:44,week 54,Frequently,Always,Always,Always,Sometimes,Always,Always,Not at all,Always,Always,Sometimes,Not at all,0.714590092,36,Female,New South Wales,3,Not working,Frequently,Yes,__NA__,No,No,No,No,No,No,Yes,No,No,1,2,3 – About the same,No,1 – A lot less impact
52910,21/03/2022 21:45,week 54,Not at all,Sometimes,Always,Frequently,Not at all,Not at all,Rarely,Not at all,Not at all,Not at all,Rarely,Not at all,1.311109355,77,Male,Tasmania,2,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,2,1 – A lot less impact,No,1 – A lot less impact
52911,21/03/2022 21:46,week 54,Always,Always,Always,Always,Always,Not at all,Always,Always,Frequently,Always,Always,Frequently,0.871307484,74,Male,New South Wales,2,Retired,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,2,No,1 – A lot less impact
52912,21/03/2022 21:47,week 54,Frequently,Frequently,Always,Always,Not at all,Not at all,Not at all,Rarely,Sometimes,Frequently,Always,Not at all,1.353131215,77,Female,Victoria,1,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,4,4,No,4
